2016-10-11 14:42:05 status half-installed diffutils:i386 1:3.3-1
2016-10-11 14:42:05 status unpacked diffutils:i386 1:3.3-1
2016-10-11 14:42:05 status unpacked diffutils:i386 1:3.3-1
2016-10-11 14:42:05 upgrade dpkg:i386 1.17.5ubuntu5 1.17.5ubuntu5
2016-10-11 14:42:05 status half-configured dpkg:i386 1.17.5ubuntu5
2016-10-11 14:42:05 status unpacked dpkg:i386 1.17.5ubuntu5
2016-10-11 14:42:05 status half-installed dpkg:i386 1.17.5ubuntu5
2016-10-11 14:42:05 status half-installed dpkg:i386 1.17.5ubuntu5
2016-10-11 14:42:05 status unpacked dpkg:i386 1.17.5ubuntu5
2016-10-11 14:42:05 status unpacked dpkg:i386 1.17.5ubuntu5
2016-10-11 14:42:05 install e2fslibs:i386 <none> 1.42.9-3ubuntu1
2016-10-11 14:42:05 status half-installed e2fslibs:i386 1.42.9-3ubuntu1
2016-10-11 14:42:05 status unpacked e2fslibs:i386 1.42.9-3ubuntu1
2016-10-11 14:42:05 status unpacked e2fslibs:i386 1.42.9-3ubuntu1
2016-10-11 14:42:05 install e2fsprogs:i386 <none> 1.42.9-3ubuntu1
2016-10-11 14:42:05 status half-installed e2fsprogs:i386 1.42.9-3ubuntu1
2016-10-11 14:42:05 status unpacked e2fsprogs:i386 1.42.9-3ubuntu1
2016-10-11 14:42:05 status unpacked e2fsprogs:i386 1.42.9-3ubuntu1
2016-10-11 14:42:05 install findutils:i386 <none> 4.4.2-7
2016-10-11 14:42:05 status half-installed findutils:i386 4.4.2-7
2016-10-11 14:42:05 status unpacked findutils:i386 4.4.2-7
2016-10-11 14:42:05 status unpacked findutils:i386 4.4.2-7
2016-10-11 14:42:05 install gcc-4.9-base:i386 <none> 4.9-20140406-0ubuntu1
2016-10-11 14:42:05 status half-installed gcc-4.9-base:i386 4.9-20140406-0ubuntu1
2016-10-11 14:42:05 status unpacked gcc-4.9-base:i386 4.9-20140406-0ubuntu1
2016-10-11 14:42:05 status unpacked gcc-4.9-base:i386 4.9-20140406-0ubuntu1
2016-10-11 14:42:05 install grep:i386 <none> 2.16-1
2016-10-11 14:42:05 status half-installed grep:i386 2.16-1
2016-10-11 14:42:05 status unpacked grep:i386 2.16-1
2016-10-11 14:42:05 status unpacked grep:i386 2.16-1
2016-10-11 14:42:05 install gzip:i386 <none> 1.6-3ubuntu1
2016-10-11 14:42:05 status half-installed gzip:i386 1.6-3ubuntu1
2016-10-11 14:42:05 status unpacked gzip:i386 1.6-3ubuntu1
2016-10-11 14:42:05 status unpacked gzip:i386 1.6-3ubuntu1
2016-10-11 14:42:05 install hostname:i386 <none> 3.15ubuntu1
2016-10-11 14:42:05 status half-installed hostname:i386 3.15ubuntu1
2016-10-11 14:42:05 status unpacked hostname:i386 3.15ubuntu1
2016-10-11 14:42:05 status unpacked hostname:i386 3.15ubuntu1
2016-10-11 14:42:06 install ifupdown:i386 <none> 0.7.47.2ubuntu4
2016-10-11 14:42:06 status half-installed ifupdown:i386 0.7.47.2ubuntu4
2016-10-11 14:42:06 status unpacked ifupdown:i386 0.7.47.2ubuntu4
2016-10-11 14:42:06 status unpacked ifupdown:i386 0.7.47.2ubuntu4
2016-10-11 14:42:06 install initramfs-tools:all <none> 0.103ubuntu4
2016-10-11 14:42:06 status half-installed initramfs-tools:all 0.103ubuntu4
2016-10-11 14:42:06 status unpacked initramfs-tools:all 0.103ubuntu4
2016-10-11 14:42:06 status unpacked initramfs-tools:all 0.103ubuntu4
2016-10-11 14:42:06 install initramfs-tools-bin:i386 <none> 0.103ubuntu4
2016-10-11 14:42:06 status half-installed initramfs-tools-bin:i386 0.103ubuntu4
2016-10-11 14:42:06 status unpacked initramfs-tools-bin:i386 0.103ubuntu4
2016-10-11 14:42:06 status unpacked initramfs-tools-bin:i386 0.103ubuntu4
2016-10-11 14:42:06 install initscripts:i386 <none> 2.88dsf-41ubuntu6
2016-10-11 14:42:06 status half-installed initscripts:i386 2.88dsf-41ubuntu6
2016-10-11 14:42:06 status unpacked initscripts:i386 2.88dsf-41ubuntu6
2016-10-11 14:42:06 status unpacked initscripts:i386 2.88dsf-41ubuntu6
2016-10-11 14:42:06 install insserv:i386 <none> 1.14.0-5ubuntu2
2016-10-11 14:42:06 status half-installed insserv:i386 1.14.0-5ubuntu2
2016-10-11 14:42:06 status unpacked insserv:i386 1.14.0-5ubuntu2
2016-10-11 14:42:06 status unpacked insserv:i386 1.14.0-5ubuntu2
2016-10-11 14:42:06 install iproute2:i386 <none> 3.12.0-2
2016-10-11 14:42:06 status half-installed iproute2:i386 3.12.0-2
2016-10-11 14:42:06 status unpacked iproute2:i386 3.12.0-2
2016-10-11 14:42:06 status unpacked iproute2:i386 3.12.0-2
2016-10-11 14:42:06 install klibc-utils:i386 <none> 2.0.3-0ubuntu1
2016-10-11 14:42:06 status half-installed klibc-utils:i386 2.0.3-0ubuntu1
2016-10-11 14:42:06 status unpacked klibc-utils:i386 2.0.3-0ubuntu1
2016-10-11 14:42:06 status unpacked klibc-utils:i386 2.0.3-0ubuntu1
2016-10-11 14:42:06 install kmod:i386 <none> 15-0ubuntu6
2016-10-11 14:42:06 status half-installed kmod:i386 15-0ubuntu6
2016-10-11 14:42:06 status unpacked kmod:i386 15-0ubuntu6
2016-10-11 14:42:06 status unpacked kmod:i386 15-0ubuntu6
2016-10-11 14:42:06 install libacl1:i386 <none> 2.2.52-1
2016-10-11 14:42:06 status half-installed libacl1:i386 2.2.52-1
2016-10-11 14:42:06 status unpacked libacl1:i386 2.2.52-1
2016-10-11 14:42:06 status unpacked libacl1:i386 2.2.52-1
2016-10-11 14:42:06 install libattr1:i386 <none> 1:2.4.47-1ubuntu1
2016-10-11 14:42:06 status half-installed libattr1:i386 1:2.4.47-1ubuntu1
2016-10-11 14:42:06 status unpacked libattr1:i386 1:2.4.47-1ubuntu1
2016-10-11 14:42:06 status unpacked libattr1:i386 1:2.4.47-1ubuntu1
2016-10-11 14:42:06 install libaudit-common:all <none> 1:2.3.2-2ubuntu1
2016-10-11 14:42:06 status half-installed libaudit-common:all 1:2.3.2-2ubuntu1
2016-10-11 14:42:06 status unpacked libaudit-common:all 1:2.3.2-2ubuntu1
2016-10-11 14:42:06 status unpacked libaudit-common:all 1:2.3.2-2ubuntu1
2016-10-11 14:42:06 install libaudit1:i386 <none> 1:2.3.2-2ubuntu1
2016-10-11 14:42:06 status half-installed libaudit1:i386 1:2.3.2-2ubuntu1
2016-10-11 14:42:06 status unpacked libaudit1:i386 1:2.3.2-2ubuntu1
2016-10-11 14:42:06 status unpacked libaudit1:i386 1:2.3.2-2ubuntu1
2016-10-11 14:42:06 install libblkid1:i386 <none> 2.20.1-5.1ubuntu20
